column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Place,12,0.0,1.0,12,"{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",1.25,1.0,0.0
Athlete,12,0.0,0.0,12,"{""Tamara Press"": 1, ""Renate Culmberger"": 1, ""Galina Zybina"": 1, ""Valerie Young"": 1, ""Margitta Helmbold"": 1}",13.667,13.0,0.0
Nation,12,0.0,0.0,8,"{""Soviet Union"": 3, ""Germany"": 3, ""New Zealand"": 1, ""Canada"": 1, ""Romania"": 1}",9.083,7.5,0.0
Best mark,12,0.0,0.0,12,"{""18.14 metres OR"": 1, ""17.61 metres"": 1, ""17.45 metres"": 1, ""17.26 metres"": 1, ""16.91 metres"": 1}",12.25,12.0,0.0
Throw 1,12,0.0,0.916667,12,"{""17.51"": 1, ""17.41"": 1, ""17.38"": 1, ""17.08"": 1, ""16.67"": 1}",4.667,5.0,0.0
Throw 2,12,0.0,0.75,10,"{""X"": 3, ""17.72"": 1, ""17.10"": 1, ""17.25"": 1, ""15.84"": 1}",4.0,5.0,0.0
Throw 3,12,0.0,0.666667,9,"{""X"": 4, ""17.18"": 1, ""16.38"": 1, ""17.45"": 1, ""16.81"": 1}",3.667,5.0,0.0
Throw 4,12,0.5,0.5,6,"{""16.49"": 1, ""17.61"": 1, ""17.42"": 1, ""17.26"": 1, ""16.6"": 1}",4.833,5.0,0.0
Throw 5,12,0.5,0.416667,6,"{""X"": 1, ""17.00"": 1, ""16.65"": 1, ""17.24"": 1, ""16.91"": 1}",4.333,5.0,0.0
Throw 6,12,0.5,0.5,6,"{""18.14"": 1, ""17.01"": 1, ""17.36"": 1, ""17.23"": 1, ""16.34"": 1}",5.0,5.0,0.0
