context_path,absolute_path,n_rows,n_cols,table_missing_ratio,n_numeric_cols_est,n_cols_mostly_empty,avg_col_cardinality,median_col_cardinality,avg_cell_length,has_duplicate_column_names,duplicate_column_names
csv/204-csv/590.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\590.csv,10,7,0.0,2,0,6.0,5.0,8.157,False,
csv/204-csv/622.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\622.csv,17,6,0.0,1,0,9.0,7.5,10.314,False,
csv/204-csv/772.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\772.csv,9,4,0.0,2,0,6.25,7.5,5.583,False,
csv/203-csv/515.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\515.csv,9,5,0.0,1,1,7.0,9.0,8.522,False,
csv/204-csv/495.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\495.csv,40,6,0.045833,0,0,24.167,23.5,9.274,False,
csv/203-csv/705.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\705.csv,7,6,0.0,1,1,4.833,5.0,20.667,False,
csv/204-csv/361.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\361.csv,48,4,0.0,1,0,42.25,48.0,9.52,False,
csv/204-csv/341.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\341.csv,50,5,0.0,0,1,36.6,41.0,8.87,False,
csv/203-csv/564.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\564.csv,12,6,0.0,5,0,11.167,11.0,4.222,False,
csv/203-csv/116.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\116.csv,12,7,0.0,3,0,9.857,10.0,8.738,False,
csv/204-csv/253.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\253.csv,26,7,0.0,1,0,9.857,11.0,8.808,False,
csv/203-csv/646.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\646.csv,10,5,0.0,1,0,8.2,9.0,9.6,False,
csv/204-csv/841.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\841.csv,88,5,0.0,1,0,46.6,38.0,11.089,False,
csv/204-csv/133.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\133.csv,15,6,0.0,0,0,11.333,11.0,11.056,False,
csv/203-csv/104.csv,WikiTableQuestions\WikiTableQuestions\csv\203-csv\104.csv,47,7,0.0,4,0,16.286,4.0,7.328,False,
csv/204-csv/706.csv,WikiTableQuestions\WikiTableQuestions\csv\204-csv\706.csv,7,5,0.0,1,0,6.4,7.0,9.743,False,
